Player,474,662
Ghost,474,462
Ghost,542,377
Ghost,270,110
Ghost,922,562
Wall,12,50
Wall,12,100
Wall,12,150
Wall,12,200
Wall,12,250
Wall,12,300
Wall,12,350
Wall,12,400
Wall,12,450
Wall,12,500
Wall,12,550
Wall,12,600
Wall,12,650
Wall,12,700
Wall,62,700
Wall,112,700
Wall,162,700
Wall,212,700
Wall,262,700
Wall,312,700
Wall,362,700
Wall,412,700
Wall,462,700
Wall,512,700
Wall,562,700
Wall,612,700
Wall,662,700
Wall,712,700
Wall,762,700
Wall,812,700
Wall,862,700
Wall,912,700
Wall,962,700
Wall,62,50
Wall,112,50
Wall,162,50
Wall,212,50
Wall,262,50
Wall,312,50
Wall,362,50
Wall,412,50
Wall,462,50
Wall,512,50
Wall,562,50
Wall,612,50
Wall,662,50
Wall,712,50
Wall,762,50
Wall,812,50
Wall,862,50
Wall,912,50
Wall,962,50
Wall,962,100
Wall,962,150
Wall,962,200
Wall,962,250
Wall,962,300
Wall,962,350
Wall,962,400
Wall,962,450
Wall,962,500
Wall,962,550
Wall,962,600
Wall,962,650
Wall,962,700
Wall,112,150
Wall,162,150
Wall,112,200
Wall,162,200
Wall,112,300
Wall,162,300
Wall,812,150
Wall,862,150
Wall,812,200
Wall,862,200
Wall,462,100
Wall,512,100
Wall,462,150
Wall,512,150
Wall,462,200
Wall,512,200
Wall,262,150
Wall,312,150
Wall,362,150
Wall,262,200
Wall,312,200
Wall,362,200
Wall,812,300
Wall,862,300
Wall,612,150
Wall,662,150
Wall,712,150
Wall,612,200
Wall,662,200
Wall,712,200
Wall,412,400
Wall,562,400
Wall,412,450
Wall,412,500
Wall,562,450
Wall,562,500
Wall,462,500
Wall,512,500
Wall,262,300
Wall,312,300
Wall,362,300
Wall,312,350
Wall,612,300
Wall,662,300
Wall,712,300
Wall,662,350
Wall,462,300
Wall,512,300
Wall,412,600
Wall,462,600
Wall,512,600
Wall,562,600
Wall,112,600
Wall,162,600
Wall,212,600
Wall,212,550
Wall,212,500
Wall,212,450
Wall,212,400
Wall,112,500
Wall,112,450
Wall,112,400
Wall,312,400
Wall,312,500
Wall,312,550
Wall,312,600
Wall,862,600
Wall,812,600
Wall,762,600
Wall,762,550
Wall,762,500
Wall,762,450
Wall,762,400
Wall,662,400
Wall,662,500
Wall,662,550
Wall,662,600
Wall,862,400
Wall,862,450
Wall,862,500
Dot,74,112
Dot,74,162
Dot,74,212
Dot,74,262
Dot,74,312
Dot,74,362
Dot,74,412
Dot,74,462
Dot,74,512
Dot,74,562
Dot,74,612
Dot,74,662
Dot,124,112
Dot,174,112
Dot,224,112
Dot,324,112
Dot,374,112
Dot,424,112
Dot,424,162
Dot,424,212
Dot,424,262
Dot,374,662
Dot,324,662
Dot,274,662
Dot,224,662
Dot,174,662
Dot,124,662
Dot,274,612
Dot,274,562
Dot,274,512
Dot,274,462
Dot,274,412
Dot,274,362
Dot,224,362
Dot,174,362
Dot,124,362
Dot,174,412
Dot,174,462
Dot,174,512
Dot,174,562
Dot,124,562
Dot,124,262
Dot,174,262
Dot,224,262
Dot,274,262
Dot,324,262
Dot,374,262
Dot,224,212
Dot,224,162
Dot,224,312
Dot,574,112
Dot,624,112
Dot,674,112
Dot,724,112
Dot,774,112
Dot,824,112
Dot,874,112
Dot,924,112
Dot,924,162
Dot,924,212
Dot,924,262
Dot,924,312
Dot,924,362
Dot,924,412
Dot,924,462
Dot,924,512
Dot,924,612
Dot,924,662
Dot,874,662
Dot,824,662
Dot,774,662
Dot,724,662
Dot,674,662
Dot,624,662
Dot,574,662
Dot,524,662
Dot,424,662
Dot,574,262
Dot,574,212
Dot,574,162
Dot,624,262
Dot,674,262
Dot,724,262
Dot,774,262
Dot,824,262
Dot,874,262
Dot,774,212
Dot,774,162
Dot,524,262
Dot,474,262
Dot,774,312
Dot,774,362
Dot,724,362
Dot,824,362
Dot,874,362
Dot,824,412
Dot,824,462
Dot,824,512
Dot,824,562
Dot,874,562
Dot,724,562
Dot,724,612
Dot,724,512
Dot,724,462
Dot,724,412
Dot,524,462
Dot,524,412
Dot,474,412
Dot,474,362
Dot,424,312
Dot,424,362
Dot,574,362
Dot,574,312
Dot,574,562
Dot,624,562
Dot,524,562
Dot,474,562
Dot,424,562
Dot,374,562
Dot,374,612
Dot,624,612